exac_id,name
amnhp_1000001,"Abbott, Charles G."
amnhp_1000002,"Abbott, Clinton G. (Clinton Gilbert), 1881-1946"
amnhp_1000003,"Abel, Othenio, 1875-1946"
amnhp_1000004,"Acker, Robert"
amnhp_1000005,"Ackerknecht, Erwin Heinz, 1906-1988"
amnhp_1000006,"Adams, George"
amnhp_1000008,"Adams, Charles C. (Charles Christopher), 1873-1955"
amnhp_1000009,"Adamson, Hans Christian"
amnhp_1000010,"Addicott, Kenneth"
amnhp_1000011,"Adler, Helmut E."
amnhp_1000012,"Adney, Tappan, 1868-1950"
amnhp_1000013,"Adlington, Robert"
amnhp_1000014,"Agassiz, Louis, 1807-1873"
amnhp_1000015,"Agassiz, Alexander, 1835-1910"
amnhp_1000016,"Agassiz, Elizabeth Cabot Cary, 1822-1907"
amnhp_1000017,"Akeley, Carl Ethan, 1864-1926"
amnhp_1000018,"Akeley, Delia J. (Delia Julia), 1875?-1970"
amnhp_1000019,"Akeley, Mary L. Jobe (Mary Lenore Jobe), 1878-1966"
amnhp_1000020,"Akin, Louis, 1868-1913"
amnhp_1000021,"Aldrich, Malcolm Pratt"
amnhp_1000022,"Alexander, Stephen, 1806-1883"
amnhp_1000023,"Allen, Arthur A. (Arthur Augustus), 1885-1964"
amnhp_1000024,"Allen, Edgar, 1892-1943"
amnhp_1000025,"Allen, Glover M. (Glover Morrill), 1879-1942"
amnhp_1000026,"Allen, J. A. (Joel Asaph), 1838-1921"
amnhp_1000027,"Allen, Joel Mott"
amnhp_1000028,"Allen, Jerome Lee"
amnhp_1000029,"Allgoever, Charles W. (1873-1956)"
amnhp_1000030,"Alston, Charles Henry, 1907-1977"
amnhp_1000031,"Amadon, Dean"
amnhp_1000032,"Amanteis, Louis"
amnhp_1000033,"Amato, George"
amnhp_1000034,"Ambrosetti, Juan B. (Juan Bautista), 1865-1917"
amnhp_1000036,"Amorosi, Nicholas"
amnhp_1000037,"Amundsen, Roald, 1872-1928"
amnhp_1000039,"Anderson, James D."
amnhp_1000040,"Anderson, Rudolph Martin, 1876-1961"
amnhp_1000041,"Anderson, Sydney, 1927-"
amnhp_1000042,"Andrews, Roy Chapman, 1884-1960"
amnhp_1000043,"Andrews, Yvette Borup"
amnhp_1000044,"Angell, James Rowland, 1869-1949"
amnhp_1000045,"Anschutz, Philip 1939-"
amnhp_1000047,"Anthony, H. E. (Harold Elmer), 1890-1970"
amnhp_1000048,"Aplington, Katharine"
amnhp_1000049,"Archbold, Richard"
amnhp_1000050,"Armitage, Albert B. (Albert Borlase), 1864-1943"
amnhp_1000051,"Armstrong, John C."
amnhp_1000052,"Arnoux, Elsa A."
amnhp_1000053,"Aronson, Lester R. (Lester Ralph), 1911-1996"
amnhp_1000054,"Arrhenius, Gustaf"
amnhp_1000055,"Arrhenius, Svante, 1859-1927"
amnhp_1000056,"Arth, Malcolm"
amnhp_1000057,"Arthur, James 1842-1930"
amnhp_1000058,"Asaeda, Toshio, 1893-1968"
amnhp_1000059,"Asch, Timothy"
amnhp_1000060,"Ash, Lee"
amnhp_1000061,"Ashley, Clifford W. (Clifford Warren), 1881-1947"
amnhp_1000062,"Asimov, Isaac, 1920-1992"
amnhp_1000063,"Astori, Constantin, 1889-1975"
amnhp_1000064,"Ata, Te"
amnhp_1000065,"Atwater, Gordon A."
amnhp_1000066,"Atz, James W."
amnhp_1000067,"Audubon, John James, 1785-1851"
amnhp_1000068,"Audubon, John Woodhouse, 1812-1862"
amnhp_1000069,"Augustin, Eugene"
amnhp_1000070,"Austerlitz, Robert, 1923-1994"
amnhp_1000071,"Avinoff, Andrey, 1884-1949"
amnhp_1000072,"Ayer, Edward E."
amnhp_1000073,"Aylward, Robert D."
amnhp_1000074,"Bacon, Annette Louis"
amnhp_1000075,"Bailey, Alfred M. (Alfred Marshall), 1894-1978"
amnhp_1000076,"Bailey, L. H. (Liberty Hyde), 1858-1954"
amnhp_1000077,"Bailey, S. C. H."
amnhp_1000078,"Bailey, Vernon, 1864-1942"
amnhp_1000079,"Bailey, Vernon Howe, 1874-1953"
amnhp_1000080,"Bain, Harry Foster, 1872-1948"
amnhp_1000081,"Baione, Tom"
amnhp_1000082,"Baird, Spencer Fullerton, 1823-1887"
amnhp_1000083,"Baker, P. Bryant, 1881-1970"
amnhp_1000084,"Baker, France, 1924-"
amnhp_1000085,"Baker, George F. (George Fisher), 1840-1931"
amnhp_1000086,"Baker, George F., Jr."
amnhp_1000087,"Baker, France, 1924-"
amnhp_1000088,"Bakewell, Robert, approximately 1790-"
amnhp_1000089,"Baldwin, Evelyn Briggs, 1862-1933"
amnhp_1000090,"Baldwin, S. Prentiss (Samuel Prentiss), 1868-1938"
amnhp_1000091,"Ball, Stanley C. (Stanley Crittenden), 1885-"
amnhp_1000092,"Bancroft, Thomas"
amnhp_1000093,"Bandelier, Adolph Francis Alphonse, 1840-1914"
amnhp_1000094,"Bangs, Outram, 1862-1932"
amnhp_1000095,"Bank, Ted"
amnhp_1000096,"Banks, Nathan, 1868-"
amnhp_1000097,Banksy
amnhp_1000098,"Baragwanath, John"
amnhp_1000099,"Barber, George Ware, 1890-"
amnhp_1000100,"Barber, Harry Gardner, 1871-"
amnhp_1000101,"Barberis, Juan C."
amnhp_1000102,"Barbour, Thomas, 1884-1946"
amnhp_1000103,"Barker, Lewellys F. (Lewellys Franklin), 1867-1943"
amnhp_1000104,"Barnard, Hal"
amnhp_1000105,"Barnett, Bill"
amnhp_1000106,"Barnhart, John Hendley, 1871-1949"
amnhp_1000107,"Barns, Thomas Alexander, 1880- "
amnhp_1000108,"Barnum, P. T. (Phineas Taylor), 1810-1891"
amnhp_1000109,"Barr,  H. Jay"
amnhp_1000110,"Barr, Thomas C. Jr., 1931-2011"
amnhp_1000111,"Barritt, Leon, 1851-1938"
amnhp_1000112,"Barrow, Thomas Davies"
amnhp_1000113,"Barrowclough, George F."
amnhp_1000114,"Barry, Catherine E."
